Player,RightHanded,2000,2001,2002,2003,2004,2005
Misbah-ul-Haq,yes,"0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 38 runs, 113 balls","6 innings, 6 outs, 69 runs, 202 balls","1 innings, 1 outs, 13 runs, 61 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Mohammad Akram,yes,"2 innings, 1 outs, 1 runs, 20 balls","2 innings, 1 outs, 5 runs, 11 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Mohammad Asif,no,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 0 outs, 12 runs, 61 balls"
Mohammad Hafeez,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","6 innings, 5 outs, 214 runs, 430 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Mohammad Khalil,no,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 5 runs, 23 balls","2 innings, 1 outs, 4 runs, 42 balls"
Mohammad Sami,yes,"0 innings, 0 outs, 0 runs, 0 balls","1 innings, 0 outs, 0 runs, 1 balls","11 innings, 5 outs, 57 runs, 135 balls","5 innings, 3 outs, 38 runs, 149 balls","11 innings, 10 outs, 131 runs, 479 balls","9 innings, 9 outs, 90 runs, 296 balls"
Mohammad Wasim,yes,"8 innings, 8 outs, 191 runs, 483 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Mohammad Yousuf,yes,"18 innings, 17 outs, 839 runs, 2149 balls","10 innings, 9 outs, 499 runs, 1054 balls","14 innings, 12 outs, 864 runs, 1388 balls","9 innings, 6 outs, 359 runs, 752 balls","13 innings, 13 outs, 539 runs, 891 balls","12 innings, 12 outs, 617 runs, 1188 balls"
Mohammad Zahid,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 0 runs, 5 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Moin Khan,yes,"16 innings, 15 outs, 369 runs, 763 balls","2 innings, 2 outs, 75 runs, 75 balls","0 innings, 0 outs, 0 runs, 0 balls","5 innings, 4 outs, 220 runs, 373 balls","4 innings, 4 outs, 28 runs, 67 balls","0 innings, 0 outs, 0 runs, 0 balls"
Mushtaq Ahmed,yes,"6 innings, 4 outs, 11 runs, 56 balls","1 innings, 1 outs, 19 runs, 27 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 1 outs, 20 runs, 55 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Naved-ul-Hasan,YES,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","1 innings, 1 outs, 11 runs, 11 balls","11 innings, 8 outs, 156 runs, 190 balls"
Naved Ashraf,yes,"2 innings, 2 outs, 32 runs, 104 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Naved Latif,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 20 runs, 38 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Qaiser Abbas,no,"1 innings, 1 outs, 2 runs, 15 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Rashid Latif,yes,"0 innings, 0 outs, 0 runs, 0 balls","4 innings, 4 outs, 134 runs, 258 balls","15 innings, 12 outs, 484 runs, 844 balls","4 innings, 3 outs, 104 runs, 229 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Riaz Afridi,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","1 innings, 1 outs, 9 runs, 12 balls","0 innings, 0 outs, 0 runs, 0 balls"
Saeed Anwar,no,"11 innings, 11 outs, 524 runs, 1164 balls","5 innings, 5 outs, 162 runs, 211 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Saleem Elahi,(yes),"5 innings, 5 outs, 222 runs, 546 balls","4 innings, 4 outs, 31 runs, 65 balls","6 innings, 5 outs, 116 runs, 303 balls","2 innings, 2 outs, 10 runs, 45 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Salman Butt,no,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 49 runs, 48 balls","4 innings, 4 outs, 96 runs, 183 balls","11 innings, 11 outs, 466 runs, 996 balls"
Saqlain Mushtaq,yes,"11 innings, 7 outs, 163 runs, 698 balls","7 innings, 5 outs, 145 runs, 399 balls","16 innings, 15 outs, 182 runs, 577 balls","4 innings, 4 outs, 30 runs, 135 balls","2 innings, 2 outs, 5 runs, 18 balls","0 innings, 0 outs, 0 runs, 0 balls"
Shabbir Ahmed,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","7 innings, 5 outs, 63 runs, 149 balls","2 innings, 0 outs, 19 runs, 55 balls","6 innings, 5 outs, 6 runs, 30 balls"
Shadab Kabir,no,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, -59 runs, 72 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Shahid Afridi,yes,"9 innings, 8 outs, 240 runs, 353 balls","0 innings, 0 outs, 0 runs, 0 balls","5 innings, 5 outs, 186 runs, 284 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","12 innings, 12 outs, 510 runs, 459 balls"
Shoaib Akhtar,yes,"4 innings, 3 outs, 35 runs, 113 balls","2 innings, 1 outs, 2 runs, 15 balls","13 innings, 11 outs, 122 runs, 219 balls","4 innings, 4 outs, 17 runs, 40 balls","11 innings, 11 outs, 114 runs, 321 balls","7 innings, 6 outs, 85 runs, 252 balls"
Shoaib Malik,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 2 outs, 34 runs, 219 balls","5 innings, 3 outs, 87 runs, 209 balls","6 innings, 5 outs, 251 runs, 502 balls","7 innings, 7 outs, 187 runs, 333 balls"
Taufeeq Umar,no,"0 innings, 0 outs, 0 runs, 0 balls","1 innings, 1 outs, 104 runs, 163 balls","20 innings, 19 outs, 662 runs, 1437 balls","13 innings, 13 outs, 752 runs, 1659 balls","6 innings, 5 outs, 92 runs, 277 balls","4 innings, 4 outs, 101 runs, 224 balls"
Umar Gul,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","5 innings, 5 outs, 13 runs, 91 balls","1 innings, 1 outs, 14 runs, 34 balls","0 innings, 0 outs, 0 runs, 0 balls"
Wajahatullah Wasti,yes,"3 innings, 3 outs, 26 runs, 96 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Waqar Younis,yes,"14 innings, 13 outs, 135 runs, 342 balls","8 innings, 7 outs, 60 runs, 115 balls","18 innings, 17 outs, 195 runs, 297 balls","2 innings, 2 outs, 9 runs, 24 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Wasim Akram,no,"13 innings, 11 outs, 391 runs, 735 balls","4 innings, 3 outs, 83 runs, 111 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Yasir Ali,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","2 innings, 0 outs, 1 runs, 5 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls"
Yasir Hameed,yes,"0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","0 innings, 0 outs, 0 runs, 0 balls","13 innings, 11 outs, 589 runs, 981 balls","12 innings, 11 outs, 313 runs, 581 balls","8 innings, 8 outs, 266 runs, 426 balls"
Younis Khan,yes,"14 innings, 13 outs, 403 runs, 929 balls","9 innings, 8 outs, 421 runs, 660 balls","20 innings, 20 outs, 774 runs, 1602 balls","4 innings, 4 outs, 82 runs, 191 balls","6 innings, 6 outs, 307 runs, 590 balls","16 innings, 15 outs, 899 runs, 1637 balls"
TEST!,TEST!,TEST!,TEST!,TEST!,TEST!,TEST!,TEST!
